10824,IL1RL1
10825,JAK1
10826,CTSH
10827,GJB2
10828,MAP3K1
10829,SLCO2A1
10830,SMOX
10831,FBP1
10832,ETS2
10833,ACE
10834,AGT
10835,TCF7L2
10836,IL1R2
10837,FABP5
10838,NR1H3
10839,DES
10840,GBE1
10841,MAP2K2
10842,SORBS1
10843,CDC6
10844,TUBB2A
10845,RAC2
10846,SLC22A1
10847,STAT5B
10848,CYP26B1
10849,KLF5
10850,NR1D2
10851,APOA1
10852,PSRC1
10853,MIR21
10854,IFI44
10855,CBR1
10856,PTGR1
10857,MARCKS
10858,GJB1
10859,AIFM1
10860,CPT2
10861,ITGB5
10862,TYMP
10863,TUBA4A
10864,SLC30A1
10865,CKM
10866,COL5A1
10867,COL5A2
10868,PPP1R3C
10869,SRD5A1
10870,NFKBIZ
10871,PROCR
10872,AQP1
10873,DUSP4
10874,VDAC1
10875,FHL1
10876,RGN
10877,HADH
10878,PTX3
10879,CD274
10880,EEF1A1
10881,VCAN
10882,IGFBP6
10883,GBP2
10884,COL4A2
10885,HMGA2
10886,LMNA
10887,TNFRSF21
10888,ACSS2
10889,DDX17
10890,RPS27L
10891,ATP7B
10892,MGP
10893,DNAJB9
10894,RASSF1
10895,ATP2A2
10896,ACSL4
10897,CLDN2
10898,MIF
10899,MME
10900,PLPP3
10901,EPAS1
10902,MTHFD2
10903,IER2
10904,TNFSF9
10905,RSAD2
10906,LPIN1
10907,FGFR1
10908,SELENBP1
10909,BCL3
10910,SPTBN1
10911,MAP2K4
10912,SLC5A1
10913,ECH1
10914,HSD17B4
10915,ACKR3
10916,EIF5
10917,SULF2
10918,LPIN2
10919,PDIA4
10920,CSRP2
10921,TRIP13
10922,LIG1
10923,TNFRSF11B
10924,IDH1
10925,CENPA
10926,CYP2B9
10927,PRKCZ
10928,INMT
10929,CXCL9
10930,CFI
10931,HMGA1
10932,UPP1
10933,CYP2C29
10934,GTSE1
10935,MVD
10936,HAMP
10937,SDC4
10938,SPC25
10939,CYP2C9
10940,SIK1
10941,BACH1
10942,COTL1
10943,INHBB
10944,CALD1
10945,DUSP10
10946,UBC
10947,ATP5F1B
10948,SERPINH1
10949,ELOVL6
10950,RGS16
10951,TGFBR1
10952,IL13
10953,GINS2
10954,TFPI
10955,CENPU
10956,ITGA5
10957,AMACR
10958,GPD1
10959,ABCG8
10960,ACSL3
10961,SFRP2
10962,NDC80
10963,NGFR
10964,EEPD1
10965,PLCB1
10966,TRIB1
10967,CDA
10968,SHC1
10969,PYCARD
10970,REL
10971,CTSC
10972,THRB
10973,CKB
10974,CYP51
10975,KRT15
10976,STEAP4
10977,PTPRF
10978,RHOA
10979,AK3
10980,SPSB1
10981,ADGRE1
10982,DNAJC3
10983,HILPDA
10984,HDAC5
10985,TCF19
10986,ETS1
10987,S1PR1
10988,ADD3
10989,ADH4
10990,PGK1
10991,MSRA
10992,DLC1
10993,HSPA4L
10994,INSIG2
10995,TUBA1C
10996,CSTB
10997,CHAC1
10998,ECM1
10999,KRT23
11000,DDX21
11001,UCHL1
11002,GK
11003,LDHB
11004,MAT2A
11005,NTRK1
11006,ASPM
11007,ITGA6
11008,RND3
11009,AGTR1A
11010,IGFALS
11011,PGD
11012,SLCO2B1
11013,GAS6
11014,TGFB3
11015,CX3CL1
11016,TFAP2A
11017,GNMT
11018,RTN4
11019,KIF15
11020,TTR
11021,SESN1
11022,SLC20A1
11023,APCS
11024,MCM10
11025,MXD1
11026,SDC2
11027,TRA2A
11028,NFAT5
11029,RORA
11030,STIP1
11031,LEPR
11032,CCNA1
11033,TUBB6
11034,BMP4
11035,HNRNPA1
11036,GAP43
11037,ITGA3
11038,CLDN3
11039,GRB10
11040,LYZ
11041,SRGN
11042,TGFBR3
11043,CDKN2C
11044,FLNA
11045,HMMR
11046,LCAT
11047,MAP2K3
11048,HSD3B5
11049,TNFSF11
11050,NPPB
11051,HIPK2
11052,PTPRC
11053,ACOT2
11054,BCHE
11055,ALDH3A2
11056,FOXA2
11057,SLC1A2
11058,POLE2
11059,PTPRD
11060,FETUB
11061,SATB1
11062,CAPN2
11063,TP53INP1
11064,COMT
11065,PAWR
11066,CD63
11067,SLC38A2
11068,ATG12
11069,CFD
11070,ACADM
11071,LAMC2
11072,BGLAP
11073,CPT1B
11074,CYP3A13
11075,CD59
11076,ATAD2
11077,NASP
11078,MAPK13
11079,COL12A1
11080,PER3
11081,UGDH
11082,AKT3
11083,BLM
11084,CAPG
11085,RRM2B
11086,CTTN
11087,MYH10
11088,RFC4
11089,MAP3K6
11090,PLA2G2A
11091,RRAD
11092,HBB
11093,NFIX
11094,GMNN
11095,GULO
11096,JAG1
11097,HPGD
11098,FAM43A
11099,GPCPD1
11100,FOSB
11101,P4HA1
11102,PINK1
11103,GSTT3
11104,TRIM24
11105,PROS1
11106,HERPUD1
11107,KRT5
11108,ROCK1
11109,CLCF1
11110,DDB2
11111,DEPDC1B
11112,STAT2
11113,HSPA4
11114,CAMK2B
11115,PIR
11116,CRY1
11117,UGCG
11118,DKK1
11119,PTCH1
11120,ELF3
11121,AQP3
11122,PRKCE
11123,TACC3
11124,PAPSS2
11125,FADS2
11126,MID1
11127,LTB
11128,NFKBIB
11129,GPC1
11130,QKI
11131,ATP5IF1
11132,P4HB
11133,USP18
